asc,beta_dur,beta_time,beta_frag,beta_size,beta_compen
0,0,0,0,0,0
0.0003473605163902237,0.010598471649776908,0.0007126393561254603,0.00026503269903133673,0.00012001493985342125,0.004941633387872182
0.0003847958040913705,0.010562264887135879,0.0006436275499474318,0.00043242829953357107,0.0001487066811973842,0.005740838066129318
0.0008519583766200411,0.008174249469088788,-0.0004897598375517396,0.0027807930554366524,0.000536227853543829,0.016104902930757264
0.001324289143408446,0.004237539697503484,-0.001955794205206949,0.005461119173031289,0.000962909574025799,0.026724206581492042
0.00196132174690042,-0.00034837973836205315,-0.007176304446314466,0.012199379627113921,0.0018965490775317586,0.03552780701743845
0.002250796299128151,-0.0018765967901616782,-0.010407849550123737,0.016095208859754306,0.002416729861557251,0.03786142560647564
0.0024896913750162945,-0.002456126959495068,-0.013588638323499932,0.019811863460152228,0.0029038624343770683,0.038623095519104436
0.003375133445630843,-0.003434749500385184,-0.025765335145087206,0.03397363630054991,0.00475432246694763,0.040232427191373266
0.0052855380324833565,-0.004091745047385582,-0.05219171318560911,0.06470129543628256,0.008767746999767363,0.04267074978627123
0.009687089012703404,-0.0036058025791413117,-0.11299072002869334,0.1354749674594028,0.018014812784506947,0.04715131552940297
0.016557782905732496,-0.0004436885145206091,-0.20699096023964175,0.24531242863204067,0.0323861545676845,0.05294840692263869
0.020503104675941543,-0.003882859108745303,-0.22557791105905292,0.2812247455024575,0.037818271466529406,0.0670296709231279
0.02771692322322848,0.0036476411936499187,-0.3019693462464871,0.38130604479961927,0.05142669745031539,0.0635040560510261
0.03106224107894832,0.007918928719638375,-0.314450045975722,0.4112564331498087,0.056092775947865596,0.058936545422228086
0.03215675399598017,0.009156146644737378,-0.30572819487897895,0.41180947186965117,0.056692654982306495,0.05646327904334166
0.03329154192696337,0.009570512548500217,-0.2962953917180954,0.41201460648025184,0.057273811058190446,0.05481795080727701
0.03758252007195479,0.010008027928102972,-0.27597323180503014,0.42371639203450495,0.060559675146811466,0.051366101049599794
0.04916800547892984,0.010079255731435489,-0.24515796166851825,0.47249344960515066,0.07114679959436256,0.04569496442119925
0.07701570141118477,0.009104517523644658,-0.2065182581844674,0.6150696549106355,0.09913088396332352,0.03693188412485284
0.12042333415652459,0.007515396391405775,-0.20797672356919134,0.8813734738527592,0.14722574186082338,0.029672353758877057
0.12682108694315755,0.0031926860960052802,-0.15320525190562892,0.8802016580833617,0.15034119388915018,0.02803740684386474
0.1449005871602495,0.0010130159652745737,-0.1843096459361277,1.0120349336980872,0.17263996945613316,0.030264918352212497
0.1427806951571255,-0.00011189233017555654,-0.2000988581633754,1.0097681350406862,0.17147752429277513,0.03378951326666496
0.13996297001928926,-0.00025321592663049786,-0.2025483980075955,0.9941156786247229,0.1685591517874158,0.034747760284483196
