Parameter,Estimate,s.e.,t-ratio0,p-value,Rob s.e.,Rob t-ratio0,Rob p-value
asc,0.187,0.116,1.609,0.108,0.117,1.594,0.111
beta_dur,-0.004,0.002,-1.739,0.082,0.002,-1.739,0.082
beta_time,-0.238,0.022,-10.691,0.0,0.023,-10.225,0.0
beta_frag,0.95,0.047,20.108,0.0,0.047,20.115,0.0
beta_size,1.097,0.145,7.568,0.0,0.145,7.58,0.0
beta_compen,0.027,0.005,5.519,0.0,0.005,5.52,0.0
