tau_mean,sigma_tau,alpha_acc,alpha_dec,beta_acc,beta_dec,gamma_acc,gamma_dec,lamda_acc,lamda_dec,sigma_acc,sigma_dec
0,0,0,0,0,0,0,0,0,0,0,0
0.0001653389140191051,-0.0005900970462256892,0.3137619336700035,-0.26925411371867475,0.0,0.0,0.0,0.0,0.0,0.0,-0.13589154207483642,-0.08686315640603025
-0.00047051840034562423,-0.005253088318002089,0.43183315559948987,-0.37690110339430993,0.07707776490266051,0.02631506605813697,-0.04974067609311471,-0.03364096398971399,0.05210412650983553,0.024137054140401015,-0.20708098239232098,-0.1316741849119401
-0.0016576405926412166,-0.021107288974137918,0.46921695747546505,-0.508167064230514,0.07900437291507467,0.049841297554556734,0.03175619374500742,-0.05795942912913986,0.23623089425538155,0.14359103002169538,-0.3203203853925944,-0.2142364370750353
-0.002528913498540578,-0.03372678357840617,0.518240831690185,-0.56195584344409,0.09501908279410753,0.019902729429923095,0.06533478010341397,-0.008554490538816677,0.36535456741036326,0.24812372521699733,-0.38112023157011365,-0.25295058999609255
-0.004889835743291039,-0.062482300646523534,0.6168537783109797,-0.7079305830323872,0.11200619191612647,-0.0009199421185467939,0.12118400994801884,0.03924242746676304,0.5909192586028609,0.43817774680907823,-0.31864490473632046,-0.2413746451154137
-0.04113795102874123,-0.24663126125277757,0.5293429624646482,-1.2046076938386057,0.5130356483730981,0.08213240455897196,0.4455738204920283,0.471953935576173,0.8318521515917172,0.5020938220135703,-0.2591647675166245,-0.11200088649375656
-0.049816978653089726,-0.2727919189853392,0.5249874392866757,-1.2221449412978602,0.5300691387557181,0.10587596766463533,0.4565832905630627,0.5002940735056596,0.8210936001971184,0.5275351451157717,-0.2422008642695707,-0.14201405329597702
-0.1549244740791994,-0.5611563538119456,0.5123337818336113,-1.3403934570812392,0.6338366663777707,0.41190711318926687,0.5419857966790296,0.7207229471667759,0.643235329924632,0.8836532756692709,-0.2333879235107835,-0.1751021397844173
-0.46073884664435233,-1.0014358884672487,0.4436754927663883,-1.4919380851840702,0.5260328616122545,0.6725268920005729,0.38915845080466716,0.9733599811475184,0.6524613237983001,1.0042049988775765,-0.2506092587331065,-0.18925516467126666
