tau_mean,sigma_tau,alpha1,alpha2,beta1,beta2,sigma
1,0,0,0,0,0,0
1.0000286251480097,-8.313514890267094e-05,0.0012053438884689122,0.0029048518693458145,0.0,0.0,-0.00027092121141074305
1.004054233210757,-0.01177445076891369,0.1687320807579475,0.0021969725504607123,3.0430549595746427e-05,0.0005186170708555978,-0.039426919418926926
1.0129784680333114,-0.037579061366309494,0.2388240053858915,0.002358171110577356,3.288438036973166e-05,0.0005597217401539753,-0.2329590629703432
4.0228261365277485,-8.68824285350354,0.2505834932983674,0.0022606351603121034,0.0008828333206367387,-0.041034862488888296,-0.2423316445687015
