alpha_acc,alpha_dec,beta_acc,beta_dec,gamma_acc,gamma_dec,lamda_acc,lamda_dec,sigma_acc,sigma_dec
0,0,0,0,0,0,0,0,0,0
0.3194029570026571,-0.28110686001537616,0.0,0.0,0.0,0.0,0.0,0.0,-0.1195800404671905,-0.0720854239864138
0.45201861514872643,-0.3978220325993371,7.100014632759104e-12,2.2393279112723407e-12,-3.737581453143764e-12,-2.6974431734578426e-12,1.588209694199171e-06,3.3421309719852366e-12,-0.1692295049475474,-0.10201519055873037
0.47038228401712756,-0.4314664198709548,0.03124935007625006,-0.0009729345101164681,0.053420297091089586,0.031056179872417593,1.6944262065738924e-06,0.12904098340535394,-0.222234884751369,-0.16010055813910282
0.4850445176842445,-0.5411028626846969,0.04468124982439727,0.06993859741016453,0.12405808225661884,-0.0038041792486539702,1.8259377419101144e-06,0.3751247876570528,-0.19652053507903144,-0.19847916026907425
0.5417006843959677,-0.6116492804931132,0.04974506508057522,0.06903909471029816,0.13344195981667636,0.05167058516527256,2.173067907870407e-06,0.6055289626490319,-0.11464432731505304,-0.17736224496645867
0.5334125862975809,-0.6294121229600023,0.02366694272851586,0.06693484318639209,0.13573839493561266,0.06725036565822107,2.334083414136192e-06,0.6241893883028927,-0.11613298369068213,-0.17237508547835012
0.5077391935694715,-0.6636565497234788,-0.007616143572487039,0.07184506797209149,0.09258558915925211,0.09191204017252627,2.364051075461529e-06,0.6591390440240347,-0.1272024935798847,-0.17943708198403827
0.35565585331448735,-0.8709492430958998,-0.00976497369226224,0.08091000568071564,-0.020249374100497333,0.22325055869310634,2.347262646206931e-06,0.7370717409961354,-0.14983852119242444,-0.15615048846735582
0.31159302680276285,-0.9321085270908915,-0.013752673040968829,0.07740720468299979,-0.04672807966364399,0.26439781316474087,2.388401561231562e-06,0.7508557804848123,-0.13442170892737634,-0.17874317400365206
0.3089062339829286,-0.9352648286511661,-0.01370527049476999,0.06604374982148102,-0.04807689909484597,0.2576375302600056,2.3854767387141555e-06,0.7529172077603647,-0.13491189592870642,-0.17850649591607398
0.3028983442110823,-0.9528743915783789,-0.010837615696818827,0.07693960415387072,-0.056782135807450715,0.27667513194323384,2.3779040294573413e-06,0.7665997635503375,-0.1396049075042152,-0.1813368844963992
0.30306935992986234,-0.9792549375603207,-0.01046569339476828,0.05053128589414638,-0.07089533451387064,0.27669780084070034,2.375710919720698e-06,0.7997954289635067,-0.14956120885890167,-0.1913509553922105
0.2910437708046475,-1.0663831536278081,-0.004574754491104623,0.03570432949575577,-0.10285550765094453,0.3215176318867875,2.4077403491762413e-06,0.8813411694111959,-0.16983420961428286,-0.205323631239406
0.2903095989938826,-1.1197740724509022,0.00038210732378623005,0.005293779960703723,-0.1118158010503528,0.33377305855766304,2.457376728078196e-06,0.9343801337584413,-0.17913558183788542,-0.2174858697162669
0.2668640553627257,-1.258803289962456,0.006821348023567041,0.13338265105192387,-0.14535908412731202,0.504223273659208,2.5933477076305607e-06,1.0520386078550106,-0.20573457007011298,-0.22848664114039285
0.2843291586663398,-1.228866730420613,0.009792969548254734,0.10092287656397844,-0.12208081724263978,0.4640358404238995,2.609914738715582e-06,1.035081761581947,-0.19504238638355512,-0.22852810575703877
0.29957237591649666,-1.2181393267125251,0.015234168366492069,0.035851202755031925,-0.09198883742166541,0.40851277449140416,2.6624510619987223e-06,1.0214285749505099,-0.18792957313359518,-0.22349281244547747
0.30939900634112505,-1.2177703679277452,0.01837262453858028,0.019149216354874106,-0.08150077254198373,0.39623248527933164,2.6849407289272544e-06,1.0187942231552698,-0.18736639747380088,-0.2237188364317524
0.32247854156645855,-1.2338890307334145,0.024583470192892483,0.00757793484814601,-0.06659179613235586,0.39608590270298494,2.7394422275836815e-06,1.022112872224953,-0.18942162098509782,-0.22544467007317626
0.34348610489301123,-1.2608157605328465,0.03429030982323091,0.023180069450618835,-0.0448420454640957,0.4202599008026147,2.827793360431061e-06,1.0321752857118864,-0.19407578692050453,-0.22853284834748455
0.3694945626967541,-1.2869874054614605,0.0461926494009619,0.019250019138405516,-0.007648382674481563,0.4259529324972789,2.947940089324068e-06,1.0339173016435916,-0.19759818127449447,-0.2281389476140126
0.418963045869795,-1.3237789784128542,0.06850312816923794,0.014417323711710388,0.05812132732969372,0.4304362154742796,3.1388860747108565e-06,1.0274963525370124,-0.19914202677287848,-0.2252341203294203
0.43178667539317217,-1.3412149643314413,0.07773650276776226,0.015926446974960373,0.07374324909761235,0.4342578365680352,3.1784208802159374e-06,1.0235834298232362,-0.19736632595366618,-0.223693311690535
