bc_acc,bc_dec,b_speed_c1,b_speed_c2,alpha_acc,alpha_dec,beta_acc,beta_dec,gamma_acc,gamma_dec,lamda_acc_p,lamda_dec_n,dn,sigma_acc,sigma_dec,sigma_dn
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.02853684112541957,-0.11037767047113473,-0.008592302506560442,0.03428709050350997,-0.11383689567641082,-0.218712203396555,-0.22217335231884477,-0.43210886288657313,0.32538917442535925,0.6328663468689242,0.0784707772922209,0.13480778507389515,-0.00783446715024535,-0.0979546607249168,-0.041695679451051695,-0.40848047440348184
-0.021907641380899165,-0.11735472195792959,0.018404147450882452,-0.005927062558925084,-0.12975627395580286,-0.24741815595933925,-0.24173423091946986,-0.4870516814251802,0.3591659641864963,0.7163721737957615,0.13024721479406642,0.1611519534825488,0.06243843846599855,0.14265299321861774,0.15489206818291001,-0.4149414531310588
-0.003982198036514537,-0.2471295766778336,0.16486057017277528,-0.2047092349879823,-0.15589848542725013,-0.1936662893467382,-0.24463385439647514,-0.37038326738642857,0.3869126766852756,0.5597964905003094,0.2844616170338915,0.15685311446942893,0.20238901610470414,0.34760171389194516,0.27532090981520885,-0.9380162527552379
0.008607216953071666,-0.38638015949065385,0.2984272033707335,-0.36609002354939146,-0.17193535921382105,-0.15345551550999809,-0.2346229633088016,-0.28133582601567864,0.3920669801226947,0.4423608362733027,0.41790868386784047,0.15800024096621001,0.12676891531286638,0.567525410306058,0.35053037877045173,-1.3512355928384352
0.0031618790148085487,-0.4488401614617461,0.45687681547503595,-0.57516164557405,-0.21068454051586952,-0.1378414842580997,-0.2647931124443738,-0.23889605309062134,0.45855876954148006,0.3945004792233446,0.5722475467480255,0.17060038361935298,0.06328962369831435,0.5102236661460736,0.46946502507351157,-1.4025103658945317
-0.015117941974190158,-0.6023164284437716,0.7075278063428598,-0.8311491797889796,-0.24800252160166958,-0.1345843562242725,-0.2679488059837255,-0.21398839628012561,0.4965111860287691,0.3791380503054593,0.8074907454792092,0.19041095814600992,0.07601456686040985,0.5230088821229352,0.42219940912156784,-1.3813146427383265
-0.3324476218905315,-1.2494909209312144,1.0584653421256451,-0.937850547665562,-0.26830994170381856,-0.14637590227423625,-0.07975478714608916,-0.1725828149034045,0.3438662471709959,0.39034605003003753,1.477505353084351,0.19742117898328324,0.13198820991402122,0.37182941269688086,0.5875776817357665,-1.3552482659500638
-0.5819182169548346,-1.3304206660185918,1.0105007736352867,-0.9140589096396344,-0.3578037030402444,-0.13036033157339796,-0.0763569297122046,-0.09965552542763792,0.48644334163891634,0.3266377206139664,1.8906295310032566,0.12866142444824347,0.12831656979209285,0.3989325690200485,0.554747478439548,-1.3267896523309868
-0.6688102288096988,-1.266521298971915,1.006079111493142,-0.9109754775855511,-0.3830427091152032,-0.1373257865087289,-0.012380426614123072,-0.09049770800284218,0.4854078136911562,0.3342720973489151,2.1323026054990986,0.06947309831052975,0.12034050977749985,0.3987025924584889,0.5376411757238607,-1.3400760125606612
-0.5917427263913391,-1.2700696185353526,1.0892360880708836,-0.8109213547026408,-0.4609445630353322,-0.15492918347016227,0.13450422494513392,-0.06615831865006322,0.6169301757290091,0.33836835444641533,2.2343693210913673,-0.08081087981197127,0.11567477232531381,0.3970222746328501,0.5414987475220476,-1.3361251691713942
