gamma_dec,bc_acc,b_speed_c1,beta_dec,alpha_acc,sigma_dec,lamda_acc_p,alpha_dec,lamda_dec_n,beta_acc,sigma_acc,b_speed_c2,dn,bc_dec,gamma_acc,sigma_dn
1.2523055046291114,0.949266052989898,0.6986048662088439,0.3541333353258886,0.352057388420011,0.0666645444368295,0.0412710033743695,1.1471816817398652,1.4445566203824567,0.0098258561701947,-0.9435227317990672,-1.182679481874737,0.0579019426790459,-1.2225491731876732,-0.0253886775078885,-1.1897050194491712
1.2513411066349254,0.9492626418858277,0.6985987700574359,0.3547880056933808,0.3523582382999325,0.06735605449469718,0.04140761532830893,1.1475146209915288,1.4449798814809636,0.010370274530860148,-0.9434899280497894,-1.1827598985947987,0.057935862570228536,-1.2225142255271746,-0.025653670307189572,-1.1897702473738319
1.243921752273047,0.9492635253919283,0.6985707654540455,0.359822978937382,0.3534679195595609,0.07261313311519463,0.04245470178353799,1.1500759494000015,1.448242789399889,0.011880978453140678,-0.9430885498599954,-1.183380136057862,0.058396787318259764,-1.2222492531765379,-0.023933572599597695,-1.189999536285483
1.2371788723797608,0.9491659625939938,0.698516751469893,0.36422839222008846,0.3555795815121802,0.07126306497949705,0.03766975675652334,1.1524005160295738,1.451911876078317,0.013215307361390115,-0.9439932572086313,-1.1835485096984093,0.05475864299748744,-1.2229175499889327,-0.021933629824579123,-1.1904559893030062
1.228591412676972,0.9490436911122413,0.6983190810783892,0.36959943167403647,0.3592318980994319,0.06332186169422921,0.04023160283806842,1.1553664039977545,1.4573654673610146,0.014939985798510684,-0.9438996015690888,-1.183399978637752,0.05095184635824671,-1.22446526679577,-0.019395251888373828,-1.1895228940550404
1.2159455638452072,0.9483778258882224,0.6976403570799591,0.37704179636970014,0.36638781251100805,0.04918582516283719,0.038920524122361744,1.15978160104246,1.4660768515434284,0.017267089189587186,-0.9441833966121516,-1.1829600529972484,0.05882243898933237,-1.2266885746575729,-0.016223058086084784,-1.1850988368470377
1.215247506972051,0.9478424874561066,0.696902946755039,0.37578560532245864,0.3721138937877888,0.04891686224219795,0.039512180689404375,1.1602170308625452,1.4684240590779654,0.015586184385384283,-0.9461177067240845,-1.181645905198645,0.05989950484400284,-1.228254728943712,-0.015342033546088742,-1.1879475803322033
1.2151436294241076,0.9476629609833054,0.6964067005090544,0.37295944952776905,0.37972276391221516,0.04934255163144936,0.03929941983197802,1.1605887856172346,1.4717405093257385,0.015033466450993595,-0.9429123978882149,-1.1795767128374337,0.06043157125723192,-1.2304688099079388,-0.013309826891638298,-1.1896130160231102
1.2160923019322152,0.9475863663518892,0.695368407833714,0.36618171202200445,0.3876988396971544,0.05127887261093742,0.03968895794593965,1.1610132694420925,1.4779718276531768,0.019921830198703798,-0.9444243413018121,-1.1757789164864245,0.06033654553223595,-1.2335848402156686,-0.007362862267873614,-1.1868299529638462
1.2147502995875905,0.9483783357903631,0.6938344457654584,0.3556529626042587,0.3927310726701325,0.05456100526282972,0.03973517264671643,1.1630099218531496,1.4907518407568983,0.016467889155276624,-0.9461677210023768,-1.170931999700252,0.058349636004470365,-1.236170335980931,-0.00862423001698092,-1.1780295825221747
1.211418132772969,0.9496060987698759,0.6898184296155634,0.3354765643099704,0.38889128980889387,0.05627646541568272,0.03956980192693572,1.1674335802631373,1.516237855536775,0.016369376304939166,-0.9456486279178405,-1.164135190112858,0.05880270844830414,-1.2390322331004195,-0.00988860163349194,-1.1789819837155346
1.2074475595212084,0.9559138804812525,0.6898389191526647,0.2975792519741909,0.3902396797784328,0.05723439177279164,0.03959561958699651,1.1767488047844017,1.560764701996744,0.01648933976218023,-0.9458877709413515,-1.1713080965693117,0.05859945018740054,-1.221428008201436,-0.009278157314969546,-1.1809163145558157
