beta_dec,lamda_dec,sigma_dec,alpha_dec,alpha_acc,sigma_acc,gamma_dec,beta_acc,lamda_acc,gamma_acc
-0.21936965026065,0.6426956310226427,0.404161290690421,-2.440547706419995,1.6787396381370894,0.3721368094445575,0.3433155895515863,-0.0073933817180843,0.5904488733899221,0.3057416397489536
-0.26810729661088595,0.6468435423325767,-0.2839165265174181,-2.427871802186926,1.6437842677169516,-0.3298554092375593,0.43107465411455714,-0.1218229859041055,0.5876417727413814,0.47684703132308465
-0.22890215470459108,0.6735216520238599,-0.33817596296691593,-2.4314504780158193,1.6618007368560963,-0.3585279870546148,0.40349699572067016,-0.06682387553097242,0.6139492521011125,0.38661202586571025
-0.22346625440514667,0.6981908342957792,-0.33494056828170776,-2.426901190188308,1.6629333546425573,-0.36695553046555107,0.4322693145074063,-0.062382229739500555,0.6387235540435989,0.3745700514143457
-0.19874619181196,0.7346142322842604,-0.33350348284086856,-2.424163356602854,1.661017766161639,-0.3718263981724492,0.44742726452409354,-0.06723445144090687,0.6709079084093206,0.37498260619595786
-0.1509505716843757,0.7990845239063946,-0.3745258778336475,-2.416411296802064,1.6564799738611689,-0.3340279254564062,0.49796997678222477,-0.07673285748500863,0.725315754962996,0.3793029221539537
-0.06470646313085213,0.8064612509132151,-0.37699187273577633,-2.4113709639207976,1.6539230911295422,-0.33381557541378126,0.5567341574432237,-0.06754776237954656,0.6976974924425257,0.3825561981039139
0.01095562893545371,0.7361611143622051,-0.37745777947921333,-2.4164441455070427,1.6489944963812095,-0.3346716388972614,0.6001796776587,-0.07916901379888035,0.7421059440520608,0.37695313682163273
0.017365824136638508,0.7424377840809405,-0.37501971168273895,-2.495409323646281,1.623660041186929,-0.3325428893476793,0.6165585683264522,-0.12258991977753858,0.7311798536235061,0.34261615621919805
0.047355093111082665,0.7778672673914854,-0.35294067512382027,-3.208898238381477,1.2745608209299952,-0.3134173943774869,0.7395270879704076,-0.041479072096508154,0.7425722208835343,0.32090174879584454
0.10315064832616502,0.775332258733863,-0.30829853460185763,-2.414379878289244,2.108396639762137,-0.27850861190509446,0.6612118730010009,0.047488957410016464,0.8037969794369674,0.553201092588159
0.12100902729756988,0.762983741747729,-0.3000737975102044,-1.7118849966403413,1.3163633276901925,-0.2735893225630279,0.5692330984510818,-0.03202892520702667,0.7618969439540234,0.33207587703875563
0.16537662147446294,0.7832490718545603,-0.29030871804392744,-1.8018386892344687,1.2319366633698086,-0.26908844004271276,0.6127838083976774,-0.044328288541953254,0.7648999501521856,0.3056586874346425
0.2661588244347457,0.8249110650920005,-0.26549265079658013,-1.8448998745446543,1.6189304982978243,-0.259049030953127,0.7020115742425094,-0.03409736259756987,0.8035044607012432,0.39661755739289595
0.5305793384941144,0.9144783339641759,-0.21489204712280527,-1.7601881240411368,1.6520842895263403,-0.24477762216221224,0.8985395821203694,-0.10139043067316825,0.8314483750937874,0.3953818738216769
0.5265020200325546,0.9265290631697161,-0.21979135918370493,-1.9085357662341513,1.3668505689560322,-0.24204101744629164,0.9127730157803577,-0.08431709150086084,0.8332562972822742,0.3296193228400799
0.47311629612117884,0.9164191813802439,-0.2199172546065621,-2.054339482075541,1.481545324142221,-0.24321673698039195,0.9021313181968896,-0.06505368752225905,0.8422914748954942,0.362474194806015
0.47431811078473485,0.9215922076158838,-0.21819429716842131,-2.120608989835712,1.4344886832257404,-0.24386577917556682,0.9181060516904793,-0.07351601714976509,0.8360683054537793,0.3490817686759046
0.49032849481057433,0.9393319253871663,-0.21834212148198368,-2.278170478147587,1.4161333958828912,-0.24410773631792748,0.9605933309587593,-0.07784016479736146,0.8319172830195616,0.34305154954102246
0.49498659071268314,0.9460042815671332,-0.21910141693478227,-2.334357180111147,1.4062081576872254,-0.24383400336950678,0.9732280029807376,-0.07710356120538119,0.8319470510050707,0.34074838280999076
