alpha_acc,alpha_dec,beta_acc,beta_dec,gamma_acc,gamma_dec,lamda_acc,lamda_dec,sigma_acc,sigma_dec
0,0,0,0,0,0,0,0,0,0
0.14075305040504738,-0.11480938822199871,0.0,0.0,0.0,0.0,0.0,0.0,-0.14196473459212344,-0.04953905087958809
0.1785864073661312,-0.14346154900013844,0.014493367644505827,0.004812614874696604,-0.02318940960265675,-0.006779108609715668,0.012682928218600592,0.00996586924993626,-0.11487713320783613,-0.04698215228344815
0.1617067905922505,-0.19571453847397965,0.038991488162446644,0.007014121927671486,-0.07306801100711119,-0.010590550130615793,0.12859393133407584,0.09213087889304039,-0.12432897276382111,-0.04891341239607242
0.1696602404882263,-0.20563027785537488,0.059607887086369736,-0.012434622840189972,-0.1160238745942278,0.015397699288004888,0.2154574269794864,0.1686835845543075,-0.13204926881970927,-0.05601416287395473
0.169422728662376,-0.2707108046566524,0.03990646690037057,-0.06376421278404468,-0.1115015408801224,0.08408055808033305,0.3091459227611278,0.28938048948975703,-0.10476529524277826,-0.07246482318290698
0.1709684032202571,-0.30003142942921585,0.03125844052306394,-0.08621698998165579,-0.11148824312590132,0.11368950445721776,0.33705421866015195,0.34866132877471423,-0.1030248796155084,-0.04051493615719325
0.15345028834003124,-0.3327999981353771,0.02992608490790471,-0.09570630733237397,-0.14134228031145357,0.12198029916204962,0.2973674458824786,0.4739374598407311,-0.10491839150714329,-0.04427826528643791
0.11130976731673115,-0.3835623617993436,0.03650691994413137,-0.13509161243667045,-0.21479974799323304,0.1673514131028744,0.26008129922028445,0.4970709123424641,-0.1102555660908475,-0.048710415362695804
0.10033427752939195,-0.40379935969156927,-0.3170451438001359,-0.1831682335311804,-0.4821594579080197,0.14772765755535186,0.24786476806711102,0.5350523108441222,-0.11388708531043887,-0.05114151914700795
0.08655366901909613,-0.43210979813168326,-0.30216373641539146,-0.38134790413766817,-0.5023447126987172,0.016180913498162863,0.250369886846723,0.6385859756775145,-0.11629592034677369,-0.05446970691614751
0.07168071206881295,-0.47836609337694797,-0.29637454444879485,0.2159549137465362,-0.5340012495071267,0.46578373892257435,0.2659833831304358,0.8357838844281643,-0.1203278088338793,-0.06010390764522657
0.09898766393296757,-0.5045336079260864,-0.23927309160714574,0.015543299694304263,-0.45285174217911306,0.31724992384258316,0.34987258814597205,1.045247533012618,-0.1223322688543777,-0.06477011466584222
0.09530515686295615,-0.5315220530595332,-0.21551944136178885,-0.058615301952410104,-0.4518318439779198,0.30463137161158405,0.3815162148376889,1.0697834645309028,-0.12496359835961607,-0.06648484222296941
0.07407193602017534,-0.6177792882063562,-0.1893708174903383,-0.08212498608119262,-0.4851966530376051,0.39721309437672453,0.4166557033962473,1.1804602380860567,-0.1314830049404533,-0.06913689479670838
0.07030967683038562,-0.6809741311860824,-0.1660322838877742,-0.12656971429197228,-0.48150870266451135,0.4372888514017508,0.45563448696396286,1.2630176481288848,-0.13556706551918343,-0.06932974427475644
0.0756383949531387,-0.7035754378855071,-0.14707893608680006,-0.15170982499429864,-0.45094689995969967,0.44004655419695615,0.46394974289620633,1.2806073719055224,-0.13600206986818886,-0.06793159272551291
0.0828729259238437,-0.7415496675891824,-0.13583332308684154,-0.20745313221752493,-0.4121839265817539,0.4297922371091967,0.466190580426399,1.3047439943989168,-0.1367163183720683,-0.06669313008878819
0.10334124178440271,-0.7986103875096913,-0.11328928337505836,-0.21584434957855983,-0.32068690079281403,0.46057089275762514,0.48077836932462903,1.3264913614716527,-0.13778145594220936,-0.06610715981699851
0.13556976554259986,-0.8695763048188041,-0.11152515123241569,-0.23196952656057154,-0.20692196419925205,0.48020626213351614,0.5196879310730373,1.3472799867882106,-0.13931018036139475,-0.06810243283213303
0.1320611156712892,-0.8664068929382093,-0.14221185343654835,-0.1885366793411325,-0.24596313154084332,0.5015350836077707,0.534683747363842,1.3454777789178616,-0.13893799886686428,-0.07060177331410639
0.1426164539177873,-0.8915790349338539,-0.17526314343484872,-0.09173493719741842,-0.24710152032805185,0.5551102696446611,0.5858581583969551,1.3198005230746053,-0.1380533113649208,-0.07349299163517432
0.15478888066007537,-0.9328584098355959,-0.166859671545412,-0.0927110522124644,-0.21059978327306084,0.5544825090164325,0.6241521605753235,1.290178926368947,-0.13699742180833605,-0.07433168942884749
0.17414336447844378,-1.0231956599061662,-0.14263715899526297,-0.11335524653394274,-0.14701424496572524,0.5558747204781449,0.6837053794914861,1.2423003149487044,-0.13606345180650992,-0.07456647573226655
0.2054141206514674,-1.2175608757769711,-0.0894553541868745,-0.19193134597080597,-0.04512053750615802,0.539456528619107,0.7756189659347761,1.1577021538217598,-0.13567174611802865,-0.07302648711245431
0.21800494060504474,-1.329047536620149,-0.06104788142908829,-0.18702631251695875,-0.00866214180754546,0.5646759265153383,0.7918565263707616,1.1202466218290361,-0.13588799414367717,-0.07151699849384796
0.23527404310599512,-1.505479879154091,-0.040249661726085656,-0.20910523146746646,0.024771382222656645,0.5845014024805051,0.776283148711567,1.0891038720580217,-0.13642475178633495,-0.07048117577871243
0.2544716524697011,-1.7857636837288744,-0.031748933921576815,-0.18127396521313022,0.032248782802018656,0.6630494783926116,0.6996631890526179,1.0745847962129305,-0.1373780426980724,-0.06993871521350391
0.28741737723420824,-2.123716716973929,-0.047389309516110964,-0.19449016976989783,0.056879375428246184,0.7086283730375771,0.5914092193369193,1.0717055519775927,-0.1389954289069837,-0.07060911082019466
0.28692438358564126,-2.230949762757867,-0.06817859055241264,-0.19140427164175844,0.016753500933547362,0.7271846645090653,0.5438604176925282,1.1205702668279613,-0.13881716792781237,-0.07250647896759095
0.29960883334375604,-2.3531162279067885,-0.07746579685602746,-0.13926835955247138,0.033926846246040705,0.8006892515044004,0.5649135490107525,1.175651473569715,-0.13820905460715374,-0.0755898867148607
0.32520614471285,-2.551319100328193,-0.07046569014137605,-0.1438737424516974,0.08800367877227429,0.8238833773838881,0.6250491021477115,1.22967486652888,-0.13747690208852295,-0.07684511484200193
0.3470859889017167,-2.8092733132380645,-0.07034315158359111,-0.14746242816584565,0.11273594111821073,0.8710213947492099,0.6521448246110764,1.2496221226281963,-0.13675038758626243,-0.07684702477784217
0.36768828973935996,-3.060534356803976,-0.05412925258159684,-0.09945531415106638,0.14032537739243814,0.9310207167615686,0.6806807131788477,1.2315194783845809,-0.1363351679988581,-0.07468461023992834
0.3941340882499236,-3.3802554868169095,-0.04091963510089564,-0.14678483357222136,0.171098818894539,0.9213158066901375,0.7027539329138071,1.2007024741572438,-0.1363188728005916,-0.07398494592978175
0.4220992793229635,-3.7082749186097512,-0.028141102664471868,-0.12444088541607615,0.20409734191431497,0.9604777134291504,0.7011644527359598,1.1806739023303436,-0.13650415452133804,-0.07447907662220782
0.4433860861201663,-4.002320646850661,-0.03230075661788583,-0.13519394287327569,0.21529410089737483,0.9796739842841128,0.6982898106814447,1.1930562663649977,-0.1365913187879437,-0.0757884732841539
0.4635074452446463,-4.269257433449549,-0.029023979262735193,-0.12955710952359997,0.23422768183879705,1.0102113992432793,0.6999081706668359,1.2041274292332143,-0.13644975720779676,-0.07595533509572021
0.4723599092915668,-4.42083506161943,-0.027970509049243728,-0.12267395658344853,0.23875432439397415,1.0232220953019615,0.6993226340615577,1.2086811207644494,-0.13630441399568344,-0.07559269808138248
0.4779582345252818,-4.503435349040721,-0.026293983495284026,-0.1283706595531862,0.2452534453342125,1.0272051756548475,0.7039264922443239,1.2074842912675974,-0.13627749799058372,-0.07556336129523204
0.48254929926960305,-4.597987737357639,-0.0240475214373876,-0.13194986900797726,0.25146903126645925,1.0329824772926992,0.7101852376360581,1.2043979113720096,-0.13627404782270766,-0.07555539761589647
0.4831716713940992,-4.678321020671274,-0.02239160276338327,-0.13648883365352876,0.25448775354791703,1.0364848870370593,0.7166896237775245,1.199920543452932,-0.1362949745333583,-0.07554916730686058
0.4784333854673732,-4.756362103146184,-0.02120982758291145,-0.14180950756013624,0.2535846123618869,1.0391411228180154,0.7234850655417802,1.1940551882026225,-0.1363458328039359,-0.07553698712918891
0.46364307577463904,-4.8320211863852975,-0.02110867982951997,-0.14932639583323432,0.24526141495324627,1.0399922938720065,0.730757345716194,1.1854840788738887,-0.13645276937001033,-0.07550447014242133
0.4300855804016536,-4.918776479375234,-0.023203761749606696,-0.16034638117447061,0.22248170490334368,1.0393991739151494,0.7379521712255794,1.1727611076717168,-0.1366578940963687,-0.07544244570140539
0.36074667473210875,-5.063799750668861,-0.030189244629670188,-0.1764046669719525,0.16948790466714325,1.0403350768961575,0.74288923183073,1.1537504939235856,-0.13703457334631705,-0.07535207121415008
0.31660602531140636,-5.392879574718972,-0.03707713238515439,-0.17769059518614455,0.12752733932696358,1.0663779160607507,0.7399187708745246,1.1479025875675888,-0.1371811629721787,-0.07539403404314478
0.2862109391753597,-6.085658384827604,-0.047596247433143626,-0.1664922693998119,0.08119760964221676,1.1249009955315175,0.724734686960219,1.149464059869125,-0.13711607120214928,-0.07551930578704225
0.2112258613849149,-6.383864401154318,-0.06864021741404129,-0.17598169078609402,-0.013592764302028201,1.1234481070768396,0.6935760903467371,1.1315690903513353,-0.13744873155766324,-0.07539174180554856
0.2112741346107856,-6.616224857595487,-0.07457625652537878,-0.16591306895822602,-0.029804857278245542,1.1403942773944606,0.6766200318423335,1.135313524850084,-0.1374076979273824,-0.07543973558931957
0.19013390817317555,-7.169252437501101,-0.09288378477966755,-0.1280165784547262,-0.09507856463063646,1.1934943879536335,0.6202554884655278,1.1622894629517362,-0.13769377491474538,-0.07599373428740207
0.17058436092911233,-7.719044449807868,-0.1132546916533648,-0.10060492724429866,-0.16032043246886862,1.2430689803646218,0.5614246276569159,1.2082881662848852,-0.13773591486390502,-0.0765140932251368
