,time,entity,id,x,y,status
130,21,drone,4,35.0,35.0,idle
131,21,drone,5,35.0,35.0,idle
132,22,drone,0,50.0,30.0,waiting_at_bus_station_for_pickup_bus
133,22,drone,1,35.0,20.0,moving_to_pickup
134,22,drone,2,43.320502943378436,22.519245584932342,moving_to_pickup
135,22,drone,3,26.268717498692013,32.81717937467301,moving_to_pickup
136,22,drone,4,36.60197897416395,32.46353329090709,moving_to_pickup
137,22,drone,5,35.0,35.0,idle
138,23,drone,0,50.0,30.0,waiting_at_bus_station_for_pickup_bus
139,23,drone,1,35.0,17.0,moving_to_bus_station_finish_pickup
140,23,drone,2,44.98460353205412,20.02309470191881,moving_to_pickup
141,23,drone,3,23.35828999825602,32.08957249956401,moving_to_pickup
142,23,drone,4,38.20395794832789,29.927066581814174,moving_to_pickup
143,23,drone,5,32.42752122286237,36.54348726628258,moving_to_pickup
144,24,drone,0,50.0,30.0,waiting_at_bus_station_for_pickup_bus
145,24,drone,1,32.42752122286237,18.54348726628258,moving_to_bus_station_finish_pickup
146,24,drone,2,45.0,20.0,moving_to_bus_station_finish_pickup
147,24,drone,3,20.447862497820026,31.361965624455006,moving_to_pickup
148,24,drone,4,39.80593692249184,27.39059987272126,moving_to_pickup
149,24,drone,5,29.855042445724735,38.086974532565165,moving_to_pickup
150,25,drone,0,50.0,30.0,waiting_at_bus_station_for_pickup_bus
151,25,drone,1,30.0,20.0,waiting_at_bus_station_for_pickup_bus
152,25,drone,2,42.0,20.0,moving_to_bus_station_finish_pickup
153,25,drone,3,17.53743499738403,30.634358749346006,moving_to_pickup
154,25,drone,4,41.40791589665578,24.854133163628347,moving_to_pickup
155,25,drone,5,27.282563668587102,39.63046179884775,moving_to_pickup
156,26,drone,0,50.0,30.0,waiting_at_bus_station_for_pickup_bus
157,26,drone,1,30.0,20.0,waiting_at_bus_station_for_pickup_bus
158,26,drone,2,40.0,20.0,waiting_at_bus_station_for_pickup_bus
159,26,drone,3,15.0,30.0,moving_to_bus_station_finish_pickup
160,26,drone,4,43.00989487081973,22.317666454535434,moving_to_pickup
161,26,drone,5,24.71008489144947,41.17394906513032,moving_to_pickup
162,27,drone,0,50.0,30.0,waiting_at_bus_station_for_pickup_bus
163,27,drone,1,30.0,20.0,waiting_at_bus_station_for_pickup_bus
164,27,drone,2,40.0,20.0,waiting_at_bus_station_for_pickup_bus
165,27,drone,3,12.0,30.0,moving_to_bus_station_finish_pickup
166,27,drone,4,44.61187384498367,19.78119974544252,moving_to_pickup
167,27,drone,5,22.137606114311836,42.7174363314129,moving_to_pickup
168,28,drone,0,50.0,30.0,waiting_at_bus_station_for_pickup_bus
169,28,drone,1,30.0,20.0,waiting_at_bus_station_for_pickup_bus
170,28,drone,2,40.0,20.0,waiting_at_bus_station_for_pickup_bus
171,28,drone,3,10.0,30.0,waiting_at_bus_station_for_pickup_bus
172,28,drone,4,46.21385281914762,17.244733036349608,moving_to_pickup
173,28,drone,5,19.565127337174204,44.26092359769548,moving_to_pickup
174,29,drone,0,50.0,30.0,waiting_at_bus_station_for_pickup_bus
175,29,drone,1,30.0,20.0,waiting_at_bus_station_for_pickup_bus
176,29,drone,2,40.0,20.0,waiting_at_bus_station_for_pickup_bus
177,29,drone,3,10.0,30.0,waiting_at_bus_station_for_pickup_bus
178,29,drone,4,47.0,16.0,moving_to_bus_station_finish_pickup
179,29,drone,5,16.99264856003657,45.804410863978056,moving_to_pickup
180,30,drone,0,50.0,30.0,waiting_at_bus_station_for_pickup_bus
181,30,drone,1,30.0,20.0,waiting_at_bus_station_for_pickup_bus
182,30,drone,2,40.0,20.0,waiting_at_bus_station_for_pickup_bus
183,30,drone,3,10.0,30.0,waiting_at_bus_station_for_pickup_bus
184,30,drone,4,48.8,18.4,moving_to_bus_station_finish_pickup
185,30,drone,5,15.0,47.0,moving_to_bus_station_finish_pickup
186,31,drone,0,50.0,30.0,waiting_at_bus_station_for_pickup_bus
187,31,drone,1,30.0,20.0,waiting_at_bus_station_for_pickup_bus
188,31,drone,2,40.0,20.0,waiting_at_bus_station_for_pickup_bus
189,31,drone,3,10.0,30.0,waiting_at_bus_station_for_pickup_bus
190,31,drone,4,50.0,20.0,waiting_at_bus_station_for_pickup_bus
191,31,drone,5,12.427521222862367,48.54348726628258,moving_to_bus_station_finish_pickup
192,32,drone,0,50.0,30.0,waiting_at_bus_station_for_pickup_bus
193,32,drone,1,30.0,20.0,waiting_at_bus_station_for_pickup_bus
194,32,drone,2,40.0,20.0,waiting_at_bus_station_for_pickup_bus
195,32,drone,3,10.0,30.0,waiting_at_bus_station_for_pickup_bus
196,32,drone,4,50.0,20.0,waiting_at_bus_station_for_pickup_bus
197,32,drone,5,10.0,50.0,waiting_at_bus_station_for_pickup_bus
198,33,drone,0,50.0,30.0,waiting_at_bus_station_for_pickup_bus
199,33,drone,1,30.0,20.0,waiting_at_bus_station_for_pickup_bus
200,33,drone,2,40.0,20.0,waiting_at_bus_station_for_pickup_bus
201,33,drone,3,10.0,30.0,waiting_at_bus_station_for_pickup_bus
202,33,drone,4,50.0,20.0,waiting_at_bus_station_for_pickup_bus
203,33,drone,5,10.0,50.0,waiting_at_bus_station_for_pickup_bus
204,34,drone,0,50.0,30.0,waiting_at_bus_station_for_pickup_bus
205,34,drone,1,30.0,20.0,waiting_at_bus_station_for_pickup_bus
206,34,drone,2,40.0,20.0,waiting_at_bus_station_for_pickup_bus
207,34,drone,3,10.0,30.0,waiting_at_bus_station_for_pickup_bus
208,34,drone,4,50.0,20.0,waiting_at_bus_station_for_pickup_bus
209,34,drone,5,10.0,50.0,waiting_at_bus_station_for_pickup_bus
210,35,drone,0,50.0,30.0,waiting_at_bus_station_for_pickup_bus
211,35,drone,1,30.0,20.0,waiting_at_bus_station_for_pickup_bus
212,35,drone,2,40.0,20.0,waiting_at_bus_station_for_pickup_bus
213,35,drone,3,10.0,30.0,waiting_at_bus_station_for_pickup_bus
214,35,drone,4,50.0,20.0,waiting_at_bus_station_for_pickup_bus
215,35,drone,5,10.0,50.0,waiting_at_bus_station_for_pickup_bus
216,36,drone,0,50.0,30.0,waiting_at_bus_station_for_pickup_bus
217,36,drone,1,30.0,20.0,waiting_at_bus_station_for_pickup_bus
218,36,drone,2,40.0,20.0,waiting_at_bus_station_for_pickup_bus
219,36,drone,3,10.0,30.0,waiting_at_bus_station_for_pickup_bus
220,36,drone,4,50.0,20.0,waiting_at_bus_station_for_pickup_bus
221,36,drone,5,10.0,50.0,waiting_at_bus_station_for_pickup_bus
222,37,drone,0,50.0,30.0,waiting_at_bus_station_for_pickup_bus
223,37,drone,1,30.0,20.0,waiting_at_bus_station_for_pickup_bus
224,37,drone,2,40.0,20.0,waiting_at_bus_station_for_pickup_bus
